Address,LU post groups,LU prior groups,Prior Year,TOTAL VALUE post,TOTAL VALUE prior,YR BUILT prior (bin) 2,ZIPCODE post (group),Latitude,Longitude
95 ROSEWOOD ST,R1,R1,2022,453300.0,419800.0,1910.0,02126,42.2666117,-71.0998207
95 LAGRANGE ST,R1,R1,2022,586100.0,532900.0,1920.0,02132,42.2756849,-71.14626729999999
90 HEMMAN ST,R1,R1,2022,455400.0,650000.0,1960.0,02131,42.27659209999999,-71.1292433
88 PARK ST,R1,R1,2022,641700.0,594300.0,1920.0,02122,42.2981034,-71.0624746
85 JOYCE KILMER RD,R1,R1,2022,598600.0,544600.0,1960.0,02132,42.2696073,-71.16575929999999
68 POTOMAC ST,R1,R1,2022,755700.0,800400.0,1960.0,02132,42.2851433,-71.1614848
66 GRAMPIAN WY,R1,R1,2022,685300.0,634700.0,1890.0,02125,42.3119156,-71.04890040000001
64 GARFIELD AV,R1,R1,2022,464400.0,422200.0,1960.0,02136,42.2465602,-71.12080879999999
58 AUSTIN ST,R1,R1,2022,482600.0,407400.0,1910.0,02136,42.2602473,-71.1261602
55 MILTON ST,R1,R1,2022,458600.0,424500.0,1960.0,02136,42.2394287,-71.13286459999999
47 GOLDSMITH ST,R1,R1,2022,486900.0,451000.0,1960.0,02130,42.3066976,-71.1185486
45 GOLDSMITH ST,R1,R1,2022,526100.0,487200.0,1960.0,02130,42.3069405,-71.11863629999999
44 Walker St,R1,R1,2018,,,1880.0,02138,42.3802391,-71.1231949
44 MERCER ST,R1,R1,2022,616100.0,560100.0,1880.0,02127,42.33203109999999,-71.0488366
44 CHICKATAWBUT ST,R1,R1,2022,497600.0,473700.0,1890.0,02122,42.2858515,-71.0482214
39 BIRCHLAND AV,R1,R1,2022,658600.0,549200.0,1970.0,02132,42.2745239,-71.1626222
38 NAVARRE ST,R1,R1,2022,485700.0,441500.0,1920.0,02131,42.2772406,-71.1173006
36 TILESTON ST,R1,R1,2022,459500.0,449000.0,1940.0,02136,42.264967,-71.10627
36 MIAMI AV,R1,R1,2022,623700.0,505300.0,1940.0,02132,42.2746761,-71.1640737
36 BURROUGHS ST,R1,R1,2022,1288800.0,1182300.0,1880.0,02130,42.3127691,-71.1164886
35 JOHNSON ST,R1,R1,2022,515400.0,468500.0,1920.0,02132,42.27338109999999,-71.1631768
34 WINTHROP ST,R1,R1,2022,2114400.0,1922200.0,1860.0,02129,42.3742339,-71.0611516
33 JOHNSON ST,R1,R1,2022,513200.0,466500.0,1960.0,02132,42.2731926,-71.1629647
31 WALTER ST,R1,R1,2022,585100.0,580500.0,1900.0,02131,42.2896697,-71.1331794
31 BELMONT ST,R1,R1,2022,1323900.0,1197900.0,2000.0,02129,42.3813132,-71.0651219
27 LAWRENCE ST,R1,R1,2022,2166400.0,2185000.0,1890.0,02116,42.3460851,-71.0727467
26 BONAD RD,R1,R1,2018,647900.0,623100.0,1930.0,02132,42.293993,-71.15087299999999
25 TAMPA ST,R1,R1,2022,376800.0,352100.0,1950.0,02136,42.2732708,-71.1091315
